@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
292.0,Female,0.0,94541.6985294,0.0,680.0,546.121323529,1563.76838235,3.86,28.0,23.0,24.9411764706,4.0,EnglishandAnother,3.66,34.0,29.0,1
293.0,Male,0.0,94541.6985294,660.0,620.0,700.0,1980.0,3.54,8.0,31.0,29.0,9.0,EnglishandAnother,3.18,45.0,85.0,1
309.0,Male,0.0,120000.0,730.0,740.0,710.0,2180.0,3.36,30.0,33.0,25.0,10.0,EnglishandAnother,3.12,49.0,65.5,1
313.0,Female,300.0,23447.0,520.0,580.0,530.0,1630.0,3.84,22.0,27.0,23.0,8.0,English,3.6,48.0,48.0,1
318.0,Female,300.0,175000.0,640.0,500.0,640.0,1780.0,2.94,36.0,29.0,22.0,5.88602941176,English,2.94,40.0,45.0,1
326.0,Female,0.0,60000.0,0.0,530.0,620.0,1563.76838235,3.69,21.0,27.0,23.0,9.0,English,3.61,40.0,56.0,1
328.0,Female,0.0,28668.0,630.0,630.0,590.0,1850.0,3.86,36.0,29.0,29.0,8.0,English,3.5,38.0,71.0,1
331.0,Male,300.0,4000.0,380.0,470.0,440.0,1290.0,3.61,21.0,20.0,21.0,1.0,Another,3.52,45.0,40.0,1
334.0,Female,0.0,70000.0,740.0,540.0,540.0,1820.0,3.59,36.0,35.0,24.0,7.0,English,3.31,47.0,63.0,1
338.0,Female,0.0,50000.0,600.0,650.0,640.0,1890.0,3.75,26.0,26.0,27.0,10.0,English,3.62,49.0,66.0,1
342.0,Male,0.0,70000.0,510.0,690.0,610.0,1810.0,3.73,25.0,31.0,25.0,3.0,EnglishandAnother,3.46,42.0,66.0,1
344.0,Female,300.0,140000.0,480.0,520.0,510.0,1510.0,3.77,36.0,20.0,22.0,5.0,English,3.5,40.0,50.0,1
347.0,Female,300.0,45000.0,520.0,510.0,570.0,1600.0,3.81,36.0,22.0,22.0,6.0,EnglishandAnother,3.54,49.0,69.0,1
362.0,Male,300.0,18000.0,670.0,570.0,640.0,1880.0,3.53,36.0,31.0,25.0,8.0,English,3.23,45.0,45.0,1
367.0,Female,0.0,198000.0,670.0,510.0,700.0,1880.0,4.35,36.0,22.0,26.0,2.0,English,3.95,47.0,75.0,1
369.0,Female,300.0,30000.0,480.0,560.0,430.0,1470.0,4.13,26.0,23.0,23.0,2.0,EnglishandAnother,3.91,50.0,57.5,1
371.0,Female,300.0,35000.0,490.0,580.0,420.0,1490.0,3.9,36.0,20.0,25.0,4.0,EnglishandAnother,3.9,48.0,48.0,1
372.0,Male,0.0,94541.6985294,620.0,560.0,570.0,1750.0,3.78,8.0,29.0,25.0,8.0,English,3.43,45.0,80.5,1
