@RELATION admission_stats

@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0}

@DATA
Male,300.0,85000.0,550.0,750.0,630.0,1930.0,3.77,10.27154047,9.90600522193,9.39686684073,10.0,EnglishandAnother,3.4,40.0,81.0,4.0
Male,0.0,150000.0,620.0,750.0,610.0,1980.0,3.86,10.27154047,9.90600522193,9.39686684073,9.0,English,3.5,52.0,88.0,4.0
Female,0.0,220000.0,520.0,540.0,590.0,1650.0,3.16,10.27154047,9.90600522193,9.39686684073,10.0,EnglishandAnother,3.08,45.0,49.0,4.0
Male,0.0,150000.0,570.0,790.0,640.0,2000.0,3.5,10.27154047,9.90600522193,9.39686684073,10.0,Another,3.5,50.0,50.0,4.0
Female,300.0,40000.0,460.0,350.0,410.0,1220.0,3.95,22.0,16.0,17.0,5.0,EnglishandAnother,3.6,45.0,57.5,4.0
Female,0.0,98790.8093995,538.015665796,549.817232376,542.872062663,1630.70496084,3.79,31.0,26.0,25.0,9.0,EnglishandAnother,3.54,45.0,61.0,4.0
Female,300.0,74000.0,620.0,650.0,610.0,1880.0,4.31,32.0,30.0,25.0,8.0,English,3.95,48.0,80.0,4.0
Female,300.0,47685.0,590.0,620.0,600.0,1810.0,3.56,10.27154047,9.90600522193,9.39686684073,5.0,English,3.34,48.0,77.0,4.0
Female,0.0,34000.0,600.0,570.0,580.0,1750.0,4.0,27.0,27.0,31.0,8.0,English,3.86,45.0,49.5,4.0
Female,0.0,56000.0,740.0,630.0,640.0,2010.0,4.36,10.27154047,9.90600522193,9.39686684073,4.0,English,4.0,43.0,79.0,4.0
Female,300.0,113071.0,520.0,430.0,480.0,1430.0,3.39,10.27154047,9.90600522193,9.39686684073,8.0,Another,3.26,32.0,41.5,4.0
Female,300.0,130212.0,600.0,610.0,600.0,1810.0,3.9,10.27154047,9.90600522193,9.39686684073,6.0365535248,English,3.54,45.0,78.0,4.0
Female,0.0,160000.0,610.0,590.0,600.0,1800.0,3.95,24.0,28.0,25.0,6.0,English,3.77,45.0,65.0,4.0
Female,0.0,110000.0,610.0,620.0,650.0,1880.0,3.85,10.27154047,9.90600522193,9.39686684073,7.0,English,3.45,45.0,61.0,4.0
