@relation 'admission_stats-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,13'

@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute HSGPAunweighted numeric
@attribute Firststyrunitsforgpa numeric
@attribute Firststyeartotcumunits numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
0.07,0.482143,0.803571,0.683333,0.653333,0.746212,0.602618,0.819003,0.634985,0.222222,0.758929,0.486842,0.418301,1
0.14,0.428571,0.5,0.516667,0.453333,0.761364,0.057413,0.055889,0.054853,0.444444,0.776786,0.460526,0.313725,1
0.045,0.5,0.482143,0.616667,0.513333,0.776515,0.057413,0.055889,0.054853,0.555556,0.794643,0.578947,0.437908,1
0.018,0.767857,0.589286,0.733333,0.7,0.670455,0.057413,0.055889,0.054853,0.777778,0.65625,0.526316,0.281046,1
0.198,0.767857,0.482143,0.833333,0.7,0.981061,1,0.493209,0.671487,0.111111,0.977679,0.552632,0.477124,1
0.03,0.428571,0.571429,0.383333,0.426667,0.897727,0.638743,0.529408,0.561982,0.111111,0.959821,0.592105,0.362745,1
0.035,0.446429,0.607143,0.366667,0.44,0.810606,0.057413,0.055889,0.054853,0.333333,0.955357,0.565789,0.300654,1
0.094542,0.678571,0.571429,0.616667,0.613333,0.765152,0.057413,0.055889,0.054853,0.777778,0.745536,0.526316,0.513072,1
0.0282,0.339286,0.321429,0.466667,0.333333,0.931818,0.205236,0.348412,0.306472,0,0.9375,0.434211,0.254902,1
0.282,0.589286,0.607143,0.466667,0.533333,0.848485,0.057413,0.055889,0.054853,0.333333,0.955357,0.473684,0.333333,1
0.052,0.285714,0.553571,0.5,0.413333,0.67803,0.277487,0.529408,0.26997,0.666667,0.799107,0.381579,0.27451,1
0.094542,0.392857,0.482143,0.716667,0.513333,0.799242,0.057413,0.055889,0.054853,0.542892,0.90625,0.526316,0.359477,1
0.11,0.767857,0.910714,0.883333,0.88,0.799242,0.74712,0.891402,0.634985,0.777778,0.794643,0.578947,0.437908,1
0.0132,0.196429,0.357143,0.366667,0.253333,0.791667,0.024607,0.276013,0.196967,0,0.888393,0.355263,0.196078,1
0.042,0.428571,0.142857,0.433333,0.286667,0.905303,0.057413,0.055889,0.054853,0.666667,0.879464,0.460526,0.5,1
0.185389,0.482143,0.714286,0.6,0.586667,0.742424,0.057413,0.055889,0.054853,0.888889,0.834821,0.526316,0.281046,1
0.025,0.857143,0.732143,0.683333,0.766667,0.666667,0.057413,0.055889,0.054853,0.888889,0.678571,0.526316,0.385621,1
0.2,0.678571,0.785714,0.6,0.686667,0.575758,0.674869,0.638006,0.671487,0.542892,0.584821,0.552632,0.51634,1
0.18,0.625,0.589286,0.6,0.593333,0.723276,0.057413,0.055889,0.054853,0.542892,0.749549,0.565789,0.437908,1
0.094542,0.589286,0.642857,0.683333,0.633333,0.810606,0.057413,0.055889,0.054853,0.777778,0.866071,0.486842,0.346405,1
0.148,0.428571,0.714286,0.533333,0.54,0.829545,0.530366,0.710405,0.634985,1,0.941964,0.460526,0.30719,1
0.094542,0.490448,0.518448,0.531311,0.489179,0.621212,0.313613,0.529408,0.525481,0.777778,0.691964,0.486842,0.294118,1
0.017,0.464286,0.732143,0.716667,0.633333,0.981061,0.494241,0.674206,0.634985,0.222222,0.977679,0.552632,0.398693,1
0.03,0.490448,0.518448,0.531311,0.489179,0.681818,0.638743,0.239813,0.671487,0.888889,0.78125,0.618421,0.408497,1
0.1,0.732143,0.732143,0.65,0.706667,0.901515,0.057413,0.055889,0.054853,0.542892,0.977679,0.513158,0.30719,1
0.068,0.589286,0.375,0.633333,0.513333,0.893939,0.057413,0.055889,0.054853,0.333333,0.90625,0.565789,0.405229,1
0.45,0.75,0.767857,0.633333,0.72,0.825758,0.057413,0.055889,0.054853,0.888889,0.857143,0.486842,0.447712,1
0.05,0.571429,0.464286,0.683333,0.56,0.878788,0.057413,0.055889,0.054853,0.542892,0.959821,0.394737,0.437908,1
0.08,0.678571,0.607143,0.716667,0.666667,0.799242,0.819372,0.565608,0.671487,0.542892,0.794643,0.513158,0.405229,1
0.037,0.375,0.285714,0.366667,0.293333,0.734848,0.458115,0.276013,0.233469,0.111111,0.776786,0.460526,0.424837,1
