@relation admission_stats-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute gender {Male,Female,Unknown}
@attribute Firgen numeric
@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute FirstLang {English,EnglishandAnother,Another}
@attribute HSGPAunweighted numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
Female,0,0.09302,0.553571,0.678571,0.666667,0.626667,0.791667,0.62963,0.666667,0.538462,0.623153,English,0.821429,3
Female,0,0.1,0.642857,0.839286,0.833333,0.786667,0.659091,0.407407,0.75,0.538462,0.666667,Another,0.611607,0
Female,0,0.12,0.561603,0.589212,0.590667,0.565904,0.814394,0.666667,0.583333,0.653846,0.888889,English,0.848214,0
Female,0,0.13,0.357143,0.535714,0.516667,0.44,0.776515,0.571786,0.517127,0.537006,0.888889,English,0.834821,4
Male,0,0.950001,0.392857,0.785714,0.366667,0.486667,0.564394,0.592593,0.958333,0.576923,1,EnglishandAnother,0.513393,2
Male,0,0.07,0.857143,0.732143,0.866667,0.84,0.757576,0.571786,0.517127,0.537006,1,English,0.892857,1
Male,1,0.059,0.642857,0.589286,0.666667,0.626667,0.791667,0.703704,0.708333,0.692308,0.888889,English,0.754464,2
Male,0,0.125,0.375,0.553571,0.433333,0.42,0.753788,0.444444,0.458333,0.461538,0.777778,English,0.799107,4
Female,0,0.11,0.553571,0.410714,0.566667,0.486667,0.632576,0.571786,0.517127,0.537006,0.623153,English,0.745536,3
Female,0,0.2,0.5,0.517857,0.616667,0.526667,0.659091,0.518519,0.625,0.423077,0.555556,English,0.625,2
Male,0,0.08,0.696429,0.678571,0.6,0.653333,0.67803,0.62963,0.666667,0.653846,0.666667,English,0.674107,1
Male,0,0.11,0.375,0.482143,0.466667,0.406667,0.382576,0.571786,0.517127,0.537006,1,EnglishandAnother,0.450893,2
Female,0,0.073,0.660714,0.482143,0.916667,0.693333,0.784091,0.666667,0.5,0.692308,0.888889,EnglishandAnother,0.803571,4
Female,0,0.104,0.561603,0.589212,0.590667,0.565904,0.893939,0.481481,0.583333,0.537006,0.623153,English,0.910714,2
Male,0,0.045,0.561603,0.589212,0.590667,0.565904,0.742424,0.518519,0.5,0.5,0.623153,Another,0.803571,0
Female,1,0.106,0.446429,0.553571,0.533333,0.486667,0.67803,0.571786,0.517127,0.537006,0.222222,English,0.602679,1
Male,0,0.09302,1,0.732143,1,0.946667,0.511364,0.571786,0.517127,0.537006,1,English,0.566964,1
Female,0,0.075,0.561603,0.589212,0.590667,0.565904,0.625,0.296296,0.416667,0.461538,0.623153,EnglishandAnother,0.589286,2
Female,0,0.13,0.446429,0.285714,0.616667,0.42,0.848485,0.571786,0.517127,0.537006,0.888889,English,0.834821,1
Male,0,0.06,0.857143,0.553571,0.733333,0.72,0.719006,0.777778,0.583333,0.615385,0.623153,English,0.747357,0
Male,1,0.0132,0.303571,0.428571,0.283333,0.286667,0.734848,0.407407,0.375,0.423077,0.555556,Another,0.830357,4
Male,0,0.09302,0.642857,0.625,0.616667,0.62,0.708333,0.571786,0.517127,0.537006,0.444444,English,0.647321,3
Male,0,0.25,0.561603,0.589212,0.590667,0.565904,0.431818,0.703704,0.416667,0.461538,0.666667,English,0.46875,4
Female,1,0.020818,0.428571,0.464286,0.566667,0.46,0.712121,0.740741,0.458333,0.653846,0.555556,Another,0.808036,0
Male,0,0.09302,0.696429,0.678571,0.666667,0.68,0.647727,0.571786,0.517127,0.537006,0.444444,English,0.59375,3
Male,0,0.228,0.696429,0.821429,0.816667,0.793333,0.55303,0.888889,0.958333,0.846154,1,English,0.571429,1
